State,Sample Year,Sample Month,NO2 Units,Average of NO2 Mean,O3 Units,Average of O3 Mean,SO2 Units,Average of SO2 Mean,CO Units,Average of CO Mean
Arizona,2005,1,Parts per billion,22.67485039,Parts per million,0.010018495,Parts per billion,1.21527622,Parts per million,0.661753403
Arizona,2005,2,Parts per billion,19.54268035,Parts per million,0.015479131,Parts per billion,0.678611351,Parts per million,0.46621319
Arizona,2005,3,Parts per billion,19.6748322,Parts per million,0.024243347,Parts per billion,1.245269612,Parts per million,0.523486475
Arizona,2005,4,Parts per billion,21.50932637,Parts per million,0.031231407,Parts per billion,1.787622496,Parts per million,0.60533561
Arizona,2005,5,Parts per billion,19.7193365,Parts per million,0.03136176,Parts per billion,2.31374814,Parts per million,0.56597074
Arizona,2005,6,Parts per billion,17.92105906,Parts per million,0.033335317,Parts per billion,2.485126533,Parts per million,0.428041921
Arizona,2005,7,Parts per billion,16.05264799,Parts per million,0.033647815,Parts per billion,1.782352173,Parts per million,0.426888339
Arizona,2005,8,Parts per billion,15.75583478,Parts per million,0.030683435,Parts per billion,1.382031105,Parts per million,0.357876657
Arizona,2005,9,Parts per billion,20.85275093,Parts per million,0.025807453,Parts per billion,1.64306082,Parts per million,0.51836357
Arizona,2005,10,Parts per billion,22.69612871,Parts per million,0.019925033,Parts per billion,2.330810825,Parts per million,0.641101765
Arizona,2005,11,Parts per billion,27.0296829,Parts per million,0.014436788,Parts per billion,2.395152674,Parts per million,0.989488136
Arizona,2005,12,Parts per billion,33.20592791,Parts per million,0.008394863,Parts per billion,2.352613419,Parts per million,1.254202846
California,2005,1,Parts per billion,17.4507957,Parts per million,0.015146566,Parts per billion,1.751420614,Parts per million,0.608582769
California,2005,2,Parts per billion,15.65357803,Parts per million,0.019561863,Parts per billion,1.42330214,Parts per million,0.506285136
California,2005,3,Parts per billion,13.50214134,Parts per million,0.027825695,Parts per billion,1.513140459,Parts per million,0.449160156
California,2005,4,Parts per billion,12.06241884,Parts per million,0.032433332,Parts per billion,1.382499327,Parts per million,0.401241384
California,2005,5,Parts per billion,9.521087024,Parts per million,0.032160825,Parts per billion,1.247430976,Parts per million,0.334671294
California,2005,6,Parts per billion,8.52581453,Parts per million,0.030985893,Parts per billion,1.189154396,Parts per million,0.293471738
California,2005,7,Parts per billion,10.30002388,Parts per million,0.029157801,Parts per billion,2.117986287,Parts per million,0.350391965
California,2005,8,Parts per billion,11.09650954,Parts per million,0.029771184,Parts per billion,2.050572706,Parts per million,0.33582482
California,2005,9,Parts per billion,13.51746349,Parts per million,0.028422909,Parts per billion,1.941924656,Parts per million,0.384668475
California,2005,10,Parts per billion,16.40730403,Parts per million,0.023881401,Parts per billion,1.748961723,Parts per million,0.473011949
California,2005,11,Parts per billion,20.0229727,Parts per million,0.018289916,Parts per billion,1.733452088,Parts per million,0.65713498
California,2005,12,Parts per billion,19.74486958,Parts per million,0.013569023,Parts per billion,1.738960836,Parts per million,0.722470501
Colorado,2005,1,Parts per billion,23.30912916,Parts per million,0.007420839,Parts per billion,1.434066194,Parts per million,0.729056048
Colorado,2005,2,Parts per billion,23.43214159,Parts per million,0.013255682,Parts per billion,1.295228114,Parts per million,0.647249136
Colorado,2005,3,Parts per billion,20.53646803,Parts per million,0.023526433,Parts per billion,1.336165717,Parts per million,0.51643735
Colorado,2005,4,Parts per billion,19.63418293,Parts per million,0.027640828,Parts per billion,1.405174966,Parts per million,0.480840862
Colorado,2005,5,Parts per billion,15.3281439,Parts per million,0.026342742,Parts per billion,1.141137677,Parts per million,0.456778903
Colorado,2005,6,Parts per billion,15.26913153,Parts per million,0.030062594,Parts per billion,1.189368734,Parts per million,0.458672938
Colorado,2005,7,Parts per billion,18.0283259,Parts per million,0.03148979,Parts per billion,1.416839908,Parts per million,0.480778105
Colorado,2005,8,Parts per billion,24.96079058,Parts per million,0.021072597,Parts per billion,1.575770492,Parts per million,0.552835935
Colorado,2005,9,Parts per billion,27.54507715,Parts per million,0.01801685,Parts per billion,1.910971058,Parts per million,0.5928935
Colorado,2005,10,Parts per billion,27.88141692,Parts per million,0.010918016,Parts per billion,2.188344565,Parts per million,0.694187782
Colorado,2005,11,Parts per billion,29.80315335,Parts per million,0.0102325,Parts per billion,3.432134593,Parts per million,0.807482944
Colorado,2005,12,Parts per billion,34.80402163,Parts per million,0.008654075,Parts per billion,3.6114461,Parts per million,0.90634965
District Of Columbia,2005,1,Parts per billion,25.80796042,Parts per million,0.011260742,Parts per billion,6.741098871,Parts per million,0.719875435
District Of Columbia,2005,2,Parts per billion,31.76915107,Parts per million,0.013599714,Parts per billion,6.477143893,Parts per million,0.981269393
District Of Columbia,2005,3,Parts per billion,25.07277719,Parts per million,0.022017484,Parts per billion,5.307732274,Parts per million,0.887000419
District Of Columbia,2005,4,Parts per billion,26.7047704,Parts per million,0.023092367,Parts per billion,3.855062783,Parts per million,1.033209517
District Of Columbia,2005,5,Parts per billion,21.21256745,Parts per million,0.022172129,Parts per billion,2.835114806,Parts per million,0.935938629
District Of Columbia,2005,6,Parts per billion,17.37934548,Parts per million,0.030186759,Parts per billion,3.07628669,Parts per million,0.686403724
District Of Columbia,2005,7,Parts per billion,18.91294007,Parts per million,0.029645172,Parts per billion,2.348467103,Parts per million,0.860572828
District Of Columbia,2005,8,Parts per billion,11.77038606,Parts per million,0.032526903,Parts per billion,3.187559919,Parts per million,0.645763194
District Of Columbia,2005,9,Parts per billion,16.1983177,Parts per million,0.0292979,Parts per billion,2.7670433,Parts per million,0.8354509
District Of Columbia,2005,10,Parts per billion,15.38440868,Parts per million,0.015478484,Parts per billion,3.407295194,Parts per million,0.681702903
District Of Columbia,2005,11,Parts per billion,18.3203424,Parts per million,0.0188347,Parts per billion,5.1164019,Parts per million,0.95198065
District Of Columbia,2005,12,Parts per billion,22.17776987,Parts per million,0.012102516,Parts per billion,8.59725879,Parts per million,0.979449516
Florida,2005,1,Parts per billion,11.71948803,Parts per million,0.022643419,Parts per billion,0.613652952,Parts per million,0.543629532
Florida,2005,2,Parts per billion,11.00642004,Parts per million,0.0288125,Parts per billion,0.845528732,Parts per million,0.422337607
Florida,2005,3,Parts per billion,11.35813784,Parts per million,0.032050613,Parts per billion,0.912334887,Parts per million,0.64565271
Florida,2005,4,Parts per billion,8.062296655,Parts per million,0.042657103,Parts per billion,0.150202483,Parts per million,0.435268793
Florida,2005,5,Parts per billion,6.252611355,Parts per million,0.039352613,Parts per billion,0.262463355,Parts per million,0.493967548
Florida,2005,6,Parts per billion,7.2617064,Parts per million,0.020123,Parts per billion,0.612375533,Parts per million,0.825326467
Florida,2005,7,Parts per billion,6.080092935,Parts per million,0.022145742,Parts per billion,0.649417758,Parts per million,0.578476177
Florida,2005,8,Parts per billion,8.138374419,Parts per million,0.024226677,Parts per billion,0.312274226,Parts per million,0.553236984
Florida,2005,9,Parts per billion,6.156198621,Parts per million,0.027948207,Parts per billion,0.34298681,Parts per million,0.558193362
Florida,2005,10,Parts per billion,7.064324129,Parts per million,0.021959581,Parts per billion,0.406475694,Parts per million,0.617399903
Florida,2005,11,Parts per billion,8.3602242,Parts per million,0.022857933,Parts per billion,0.250247983,Parts per million,0.488788717
Florida,2005,12,Parts per billion,12.49778797,Parts per million,0.019811586,Parts per billion,0.892184466,Parts per million,0.591849759
Illinois,2005,1,Parts per billion,14.57991203,Parts per million,0.009932871,Parts per billion,4.693566903,Parts per million,0.510368839
Illinois,2005,2,Parts per billion,15.79828675,Parts per million,0.012537214,Parts per billion,5.948363607,Parts per million,0.482491929
Illinois,2005,3,Parts per billion,12.65561867,Parts per million,0.0218645,Parts per billion,6.179117604,Parts per million,0.4800985
Illinois,2005,4,Parts per billion,20.09422913,Parts per million,0.029213183,Parts per billion,5.1665471,Parts per million,0.46688405
Illinois,2005,5,Parts per billion,19.32381278,Parts per million,0.029493661,Parts per billion,4.684530754,Parts per million,0.425749229
Illinois,2005,6,Parts per billion,16.53764825,Parts per million,0.035456217,Parts per billion,4.515887233,Parts per million,0.337367808
Illinois,2005,7,Parts per billion,16.27537907,Parts per million,0.034166426,Parts per billion,4.131254779,Parts per million,0.427512877
Illinois,2005,8,Parts per billion,19.96685529,Parts per million,0.029715677,Parts per billion,4.551382758,Parts per million,0.427264218
Illinois,2005,9,Parts per billion,20.38199227,Parts per million,0.024634017,Parts per billion,5.838505317,Parts per million,0.443742475
Illinois,2005,10,Parts per billion,19.78566585,Parts per million,0.014957371,Parts per billion,4.861867403,Parts per million,0.555493202
Illinois,2005,11,Parts per billion,14.09087067,Parts per million,0.0159167,Parts per billion,4.099338283,Parts per million,0.432352033
Illinois,2005,12,Parts per billion,16.95509066,Parts per million,0.009451793,Parts per billion,3.680026397,Parts per million,0.607070276
Indiana,2005,3,Parts per billion,12.791667,Parts per million,0.009,Parts per billion,4.5819875,Parts per million,0.3729165
Indiana,2005,4,Parts per billion,12.9602328,Parts per million,0.032768067,Parts per billion,4.4340991,Parts per million,0.475461117
Indiana,2005,5,Parts per billion,12.27174974,Parts per million,0.032525548,Parts per billion,4.881196048,Parts per million,0.429057758
Indiana,2005,6,Parts per billion,10.88537,Parts per million,0.037294467,Parts per billion,5.43026555,Parts per million,0.370540483
Indiana,2005,7,Parts per billion,11.55844523,Parts per million,0.036671968,Parts per billion,4.252445323,Parts per million,0.37059079
Indiana,2005,8,Parts per billion,15.34339358,Parts per million,0.030154645,Parts per billion,5.253161274,Parts per million,0.396164823
Indiana,2005,9,Parts per billion,16.39649763,Parts per million,0.028186867,Parts per billion,4.351693167,Parts per million,0.4952415
Kansas,2005,1,Parts per billion,11.23075855,Parts per million,0.013217984,Parts per billion,2.397217226,Parts per million,0.537693758
Kansas,2005,2,Parts per billion,11.63797075,Parts per million,0.019776245,Parts per billion,1.307851415,Parts per million,0.220682896
Kansas,2005,3,Parts per billion,9.503948516,Parts per million,0.028683129,Parts per billion,2.122265137,Parts per million,0.19749646
Kansas,2005,4,Parts per billion,8.206988417,Parts per million,0.03471315,Parts per billion,1.396503425,Parts per million,0.311027433
Kansas,2005,5,Parts per billion,10.05107422,Parts per million,0.036429582,Parts per billion,1.977576464,Parts per million,0.361664564
Kansas,2005,6,Parts per billion,13.8977575,Parts per million,0.0404945,Parts per billion,2.945350092,Parts per million,0.49032225
Kansas,2005,7,Parts per billion,10.34463865,Parts per million,0.034044404,Parts per billion,1.669811658,Parts per million,0.377893991
Kansas,2005,8,Parts per billion,14.48613984,Parts per million,0.030198932,Parts per billion,2.747240295,Parts per million,0.365797193
Kansas,2005,9,Parts per billion,13.84577751,Parts per million,0.024791317,Parts per billion,3.455033085,Parts per million,0.414646146
Kansas,2005,10,Parts per billion,10.67615102,Parts per million,0.020770431,Parts per billion,2.003864724,Parts per million,0.423083888
Kansas,2005,11,Parts per billion,9.236600729,Parts per million,0.022248593,Parts per billion,2.1317645,Parts per million,0.413328059
Kansas,2005,12,Parts per billion,11.19481882,Parts per million,0.015180367,Parts per billion,3.021510867,Parts per million,0.518567092
Louisiana,2005,1,Parts per billion,15.02273687,Parts per million,0.0152863,Parts per billion,5.271024967,Parts per million,0.1476222
Louisiana,2005,2,Parts per billion,15.43648668,Parts per million,0.019886857,Parts per billion,5.770363321,Parts per million,0.328928768
Louisiana,2005,3,Parts per billion,16.15957965,Parts per million,0.026007484,Parts per billion,7.419729677,Parts per million,0.454017677
Louisiana,2005,4,Parts per billion,15.93405347,Parts per million,0.033059733,Parts per billion,7.128591083,Parts per million,0.196704633
Louisiana,2005,5,Parts per billion,13.42736345,Parts per million,0.035713677,Parts per billion,4.235216919,Parts per million,0.422565952
Louisiana,2005,6,Parts per billion,14.73557,Parts per million,0.027756852,Parts per billion,4.208634444,Parts per million,0.697697333
Louisiana,2005,7,Parts per billion,11.05201168,Parts per million,0.023307742,Parts per billion,1.633741903,Parts per million,0.452585919
Louisiana,2005,8,Parts per billion,12.97695852,Parts per million,0.027197613,Parts per billion,1.795218855,Parts per million,0.493836
Louisiana,2005,9,Parts per billion,10.83737955,Parts per million,0.030270787,Parts per billion,1.630141691,Parts per million,0.672032223
Louisiana,2005,10,Parts per billion,13.36110094,Parts per million,0.031545145,Parts per billion,3.144589968,Parts per million,0.566678798
Louisiana,2005,11,Parts per billion,16.17461917,Parts per million,0.0200509,Parts per billion,2.637642758,Parts per million,0.571268508
Louisiana,2005,12,Parts per billion,16.7536225,Parts per million,0.018003677,Parts per billion,3.642562403,Parts per million,0.408741129
Massachusetts,2005,1,Parts per billion,18.99938555,Parts per million,0.012780903,Parts per billion,3.710521339,Parts per million,0.526503177
Massachusetts,2005,2,Parts per billion,21.40153043,Parts per million,0.015059536,Parts per billion,5.639659411,Parts per million,0.660944589
Massachusetts,2005,3,Parts per billion,21.99525319,Parts per million,0.023594323,Parts per billion,1.849130032,Parts per million,0.379541887
Massachusetts,2005,4,Parts per billion,19.14222213,Parts per million,0.028982233,Parts per billion,1.395698867,Parts per million,0.242485767
Massachusetts,2005,5,Parts per billion,17.55819165,Parts per million,0.023063968,Parts per billion,0.399354242,Parts per million,0.099370113
Massachusetts,2005,6,Parts per billion,15.80625183,Parts per million,0.0297465,Parts per billion,0.233080583,Parts per million,0.054576583
Massachusetts,2005,7,Parts per billion,15.0758561,Parts per million,0.026692613,Parts per billion,0.979499113,Parts per million,0.104410694
Massachusetts,2005,8,Parts per billion,16.91819932,Parts per million,0.025482935,Parts per billion,0.875431968,Parts per million,0.034488548
Massachusetts,2005,9,Parts per billion,17.487412,Parts per million,0.019462667,Parts per billion,0.43058855,Parts per million,0.0293717
Massachusetts,2005,10,Parts per billion,16.25130708,Parts per million,0.013509615,Parts per billion,1.295050635,Parts per million,0.285582423
Massachusetts,2005,11,Parts per billion,21.04027408,Parts per million,0.010789077,Parts per billion,2.944809096,Parts per million,0.430944615
Massachusetts,2005,12,Parts per billion,23.31978267,Parts per million,0.006200292,Parts per billion,4.824450854,Parts per million,0.51678
Michigan,2005,3,Parts per billion,10.1458335,Parts per million,0.0175,Parts per billion,1.78819875,Parts per million,0.2576705
Michigan,2005,4,Parts per billion,16.79076563,Parts per million,0.02888565,Parts per billion,2.563697083,Parts per million,0.317480767
Michigan,2005,5,Parts per billion,15.838933,Parts per million,0.026277786,Parts per billion,3.213980527,Parts per million,0.315164071
Michigan,2005,6,Parts per billion,16.68343084,Parts per million,0.036483419,Parts per billion,2.589013758,Parts per million,0.314729419
Michigan,2005,7,Parts per billion,13.99068102,Parts per million,0.033856919,Parts per billion,1.774311048,Parts per million,0.309111242
Michigan,2005,8,Parts per billion,14.93412423,Parts per million,0.030530279,Parts per billion,2.32507973,Parts per million,0.34689359
Michigan,2005,9,Parts per billion,16.6366212,Parts per million,0.025188537,Parts per billion,3.853394611,Parts per million,0.341595537
Missouri,2005,3,Parts per billion,8.9791665,Parts per million,0.02725,Parts per billion,0.93125,Parts per million,0.37812525
Missouri,2005,4,Parts per billion,12.5071058,Parts per million,0.034070167,Parts per billion,2.802782183,Parts per million,0.393916633
Missouri,2005,5,Parts per billion,12.1677811,Parts per million,0.036444935,Parts per billion,2.886090589,Parts per million,0.325353847
Missouri,2005,6,Parts per billion,11.8162088,Parts per million,0.042390283,Parts per billion,3.134127925,Parts per million,0.401094842
Missouri,2005,7,Parts per billion,9.541721984,Parts per million,0.03946671,Parts per billion,2.425074282,Parts per million,0.437297137
Missouri,2005,8,Parts per billion,12.64991066,Parts per million,0.033083387,Parts per billion,3.419635718,Parts per million,0.535933298
Missouri,2005,9,Parts per billion,14.75635851,Parts per million,0.028175237,Parts per billion,4.043040441,Parts per million,0.657708898
Missouri,2005,10,Parts per billion,15.05861458,Parts per million,0.014953581,Parts per billion,3.643112065,Parts per million,0.636861597
New Hampshire,2005,3,Parts per billion,16.695652,Parts per million,0.0175,Parts per billion,3.5326085,Parts per million,0.2184785
New Hampshire,2005,4,Parts per billion,11.93756037,Parts per million,0.033251367,Parts per billion,2.358642533,Parts per million,0.392682683
New Hampshire,2005,5,Parts per billion,7.670678548,Parts per million,0.028618774,Parts per billion,2.831567065,Parts per million,0.42373371
New Hampshire,2005,6,Parts per billion,8.668549233,Parts per million,0.030069233,Parts per billion,3.2929775,Parts per million,0.563155467
New Hampshire,2005,7,Parts per billion,6.501791226,Parts per million,0.027965129,Parts per billion,2.821953484,Parts per million,0.422329339
New Hampshire,2005,8,Parts per billion,7.9596756,Parts per million,0.02672705,Parts per billion,3.329258025,Parts per million,0.453236575
New Hampshire,2005,9,Parts per billion,8.181074933,Parts per million,0.020424033,Parts per billion,1.172012867,Parts per million,0.351262083
New Hampshire,2005,10,Parts per billion,24.086957,Parts per million,0.002,Parts per billion,7.581677,Parts per million,0.8925725
New Hampshire,2005,11,Parts per billion,12.42658348,Parts per million,0.017262185,Parts per billion,5.432028778,Parts per million,0.599733889
New Jersey,2005,1,Parts per billion,24.94078717,Parts per million,0.011498333,Parts per billion,6.251275042,Parts per million,0.549293917
New Jersey,2005,2,Parts per billion,31.623789,Parts per million,0.012106889,Parts per billion,7.865566722,Parts per million,0.594506889
New Jersey,2005,3,Parts per billion,27.34045897,Parts per million,0.023363621,Parts per billion,5.820199483,Parts per million,0.450154379
New Jersey,2005,4,Parts per billion,20.41210248,Parts per million,0.030954381,Parts per billion,3.378994524,Parts per million,0.429153762
New Jersey,2005,5,Parts per billion,18.61296035,Parts per million,0.030131871,Parts per billion,3.205184339,Parts per million,0.347913726
New Jersey,2005,6,Parts per billion,14.2622975,Parts per million,0.032688933,Parts per billion,4.697433383,Parts per million,0.405132867
New Jersey,2005,7,Parts per billion,15.78740783,Parts per million,0.036980248,Parts per billion,4.500378149,Parts per million,0.387617273
New Jersey,2005,8,Parts per billion,16.36766861,Parts per million,0.033891097,Parts per billion,3.909161484,Parts per million,0.475473339
New Jersey,2005,9,Parts per billion,17.57465967,Parts per million,0.0287764,Parts per billion,3.694330833,Parts per million,0.393381617
New Jersey,2005,10,Parts per billion,15.55469892,Parts per million,0.013963541,Parts per billion,3.075462787,Parts per million,0.549723033
New Jersey,2005,11,Parts per billion,17.98905719,Parts per million,0.015537,Parts per billion,5.888689519,Parts per million,0.637422815
New Jersey,2005,12,Parts per billion,27.31377842,Parts per million,0.007743161,Parts per billion,8.775742,Parts per million,0.497772903
New York,2005,1,Parts per billion,21.82730981,Parts per million,0.01234243,Parts per billion,11.29108673,Parts per million,0.436496032
New York,2005,2,Parts per billion,25.28705311,Parts per million,0.016689841,Parts per billion,12.92937471,Parts per million,0.433957905
New York,2005,3,Parts per billion,25.92780464,Parts per million,0.023311944,Parts per billion,10.22008774,Parts per million,0.400717744
New York,2005,4,Parts per billion,23.00515224,Parts per million,0.028468844,Parts per billion,6.051753961,Parts per million,0.334818439
New York,2005,5,Parts per billion,18.21864547,Parts per million,0.027749548,Parts per billion,4.070404876,Parts per million,0.361930473
New York,2005,6,Parts per billion,18.55650082,Parts per million,0.027755744,Parts per billion,4.383255472,Parts per million,0.386729644
New York,2005,7,Parts per billion,17.73834573,Parts per million,0.030132226,Parts per billion,3.802158376,Parts per million,0.413313978
New York,2005,8,Parts per billion,19.18342808,Parts per million,0.030450882,Parts per billion,4.503615102,Parts per million,0.392947522
New York,2005,9,Parts per billion,19.23075544,Parts per million,0.026243788,Parts per billion,4.429196881,Parts per million,0.4602321
New York,2005,10,Parts per billion,17.89217451,Parts per million,0.016760304,Parts per billion,4.525575468,Parts per million,0.384864918
New York,2005,11,Parts per billion,24.95641159,Parts per million,0.016879288,Parts per billion,9.737746397,Parts per million,0.391646164
New York,2005,12,Parts per billion,25.97497285,Parts per million,0.010216527,Parts per billion,14.65619977,Parts per million,0.418686604
North Carolina,2005,3,Parts per billion,19.652174,Parts per million,0.0065,Parts per billion,2.3035715,Parts per million,0.6138885
North Carolina,2005,4,Parts per billion,13.81805553,Parts per million,0.037281467,Parts per billion,1.806803783,Parts per million,0.526022733
North Carolina,2005,5,Parts per billion,12.23964613,Parts per million,0.039379032,Parts per billion,1.978534387,Parts per million,0.408917435
North Carolina,2005,6,Parts per billion,10.2526946,Parts per million,0.032290267,Parts per billion,1.51055465,Parts per million,0.492234833
North Carolina,2005,7,Parts per billion,10.14931032,Parts per million,0.033530935,Parts per billion,2.849127274,Parts per million,0.529374742
North Carolina,2005,8,Parts per billion,12.03122158,Parts per million,0.031623645,Parts per billion,1.798371226,Parts per million,0.57671521
North Carolina,2005,9,Parts per billion,13.70210083,Parts per million,0.034252733,Parts per billion,2.432425517,Parts per million,0.54231965
North Carolina,2005,10,Parts per billion,14.62476629,Parts per million,0.016986194,Parts per billion,2.689630468,Parts per million,0.545700419
Oklahoma,2005,2,Parts per billion,11.48849052,Parts per million,0.023312103,Parts per billion,0.952591328,Parts per million,0.027085345
Oklahoma,2005,3,Parts per billion,10.44294732,Parts per million,0.032398758,Parts per billion,0.581073234,Parts per million,0.02762871
Oklahoma,2005,4,Parts per billion,9.043798867,Parts per million,0.039122233,Parts per billion,0.480723042,Parts per million,0.0218799
Oklahoma,2005,5,Parts per billion,7.423382267,Parts per million,0.038021317,Parts per billion,0.175462067,Parts per million,0.009532292
Oklahoma,2005,6,Parts per billion,5.75819285,Parts per million,0.0387194,Parts per billion,0.141654642,Parts per million,0.011151875
Oklahoma,2005,7,Parts per billion,5.357083742,Parts per million,0.032314516,Parts per billion,0.164364258,Parts per million,0.012660742
Oklahoma,2005,8,Parts per billion,5.796742516,Parts per million,0.033085935,Parts per billion,0.317292323,Parts per million,0.012335452
Oklahoma,2005,9,Parts per billion,6.879341773,Parts per million,0.036378136,Parts per billion,0.372203182,Parts per million,0.023520318
Oklahoma,2005,10,Parts per billion,8.30173652,Parts per million,0.02770392,Parts per billion,0.61772006,Parts per million,0.01107954
Oklahoma,2005,11,Parts per billion,10.5483655,Parts per million,0.0255954,Parts per billion,0.637366283,Parts per million,0.010336733
Pennsylvania,2005,1,Parts per billion,25.57878791,Parts per million,0.003893909,Parts per billion,5.566811273,Parts per million,0.546318091
Pennsylvania,2005,2,Parts per billion,28.868254,Parts per million,0.0103712,Parts per billion,4.6258928,Parts per million,0.6404365
Pennsylvania,2005,3,Parts per billion,23.56935489,Parts per million,0.021682971,Parts per billion,5.833770843,Parts per million,0.4060322
Pennsylvania,2005,4,Parts per billion,15.53008125,Parts per million,0.031389712,Parts per billion,5.352308105,Parts per million,0.226123284
Pennsylvania,2005,5,Parts per billion,13.22009118,Parts per million,0.029949159,Parts per billion,4.745746041,Parts per million,0.180146651
Pennsylvania,2005,6,Parts per billion,11.60334415,Parts per million,0.03309907,Parts per billion,5.918423166,Parts per million,0.182099629
Pennsylvania,2005,7,Parts per billion,11.23973488,Parts per million,0.032363198,Parts per billion,5.736135166,Parts per million,0.197035212
Pennsylvania,2005,8,Parts per billion,13.06620133,Parts per million,0.029805131,Parts per billion,5.653340758,Parts per million,0.184677893
Pennsylvania,2005,9,Parts per billion,13.5898308,Parts per million,0.02652704,Parts per billion,5.569202748,Parts per million,0.228727781
Pennsylvania,2005,10,Parts per billion,13.58755755,Parts per million,0.014313088,Parts per billion,5.311586309,Parts per million,0.238575322
Pennsylvania,2005,11,Parts per billion,27.58383932,Parts per million,0.009625036,Parts per billion,6.507233661,Parts per million,0.577404232
Pennsylvania,2005,12,Parts per billion,29.26997245,Parts per million,0.003206636,Parts per billion,9.348861,Parts per million,0.684914318
Texas,2005,1,Parts per billion,16.29345076,Parts per million,0.013607331,Parts per billion,2.309539579,Parts per million,0.379299335
Texas,2005,2,Parts per billion,13.73807079,Parts per million,0.017257456,Parts per billion,1.788046204,Parts per million,0.300292825
Texas,2005,3,Parts per billion,13.58618919,Parts per million,0.029646591,Parts per billion,2.532587048,Parts per million,0.213523261
Texas,2005,4,Parts per billion,12.67104722,Parts per million,0.034891284,Parts per billion,2.133386718,Parts per million,0.267005424
Texas,2005,5,Parts per billion,10.8539024,Parts per million,0.035904303,Parts per billion,2.085760865,Parts per million,0.270736557
Texas,2005,6,Parts per billion,10.59059597,Parts per million,0.036598815,Parts per billion,1.89211958,Parts per million,0.23075613
Texas,2005,7,Parts per billion,9.547746223,Parts per million,0.032867777,Parts per billion,1.783500264,Parts per million,0.252001645
Texas,2005,8,Parts per billion,10.9087279,Parts per million,0.03268012,Parts per billion,2.031182474,Parts per million,0.242886248
Texas,2005,9,Parts per billion,12.75009852,Parts per million,0.030956055,Parts per billion,1.977695882,Parts per million,0.290551209
Texas,2005,10,Parts per billion,15.51877726,Parts per million,0.025879496,Parts per billion,2.821667545,Parts per million,0.365971351
Texas,2005,11,Parts per billion,19.22088579,Parts per million,0.018669299,Parts per billion,2.943052376,Parts per million,0.462506479
Texas,2005,12,Parts per billion,20.77255343,Parts per million,0.015821408,Parts per billion,2.860816171,Parts per million,0.492177433
Arizona,2006,1,Parts per billion,29.0753648,Parts per million,0.014476484,Parts per billion,2.792516258,Parts per million,0.88625552
Arizona,2006,2,Parts per billion,29.0327001,Parts per million,0.017527893,Parts per billion,2.376563388,Parts per million,0.760986821
Arizona,2006,3,Parts per billion,20.63516078,Parts per million,0.02549871,Parts per billion,1.217527532,Parts per million,0.480314609
Arizona,2006,4,Parts per billion,20.6705598,Parts per million,0.030513481,Parts per billion,1.608435546,Parts per million,0.490242461
Arizona,2006,5,Parts per billion,18.16053502,Parts per million,0.032835653,Parts per billion,1.115949065,Parts per million,0.378507823
Arizona,2006,6,Parts per billion,16.5663894,Parts per million,0.03829175,Parts per billion,1.370681404,Parts per million,0.375313808
Arizona,2006,7,Parts per billion,11.16175825,Parts per million,0.039269765,Parts per billion,1.093681349,Parts per million,0.337927118
Arizona,2006,8,Parts per billion,13.1717962,Parts per million,0.032244089,Parts per billion,1.537534468,Parts per million,0.358441407
Arizona,2006,9,Parts per billion,16.3197318,Parts per million,0.026220309,Parts per billion,1.924138134,Parts per million,0.38462398
Arizona,2006,10,Parts per billion,21.62734225,Parts per million,0.018969223,Parts per billion,1.625090976,Parts per million,0.563251689
Arizona,2006,11,Parts per billion,28.19244043,Parts per million,0.015507625,Parts per billion,1.769813775,Parts per million,0.827286871
Arizona,2006,12,Parts per billion,26.65770319,Parts per million,0.012178565,Parts per billion,1.829263028,Parts per million,0.870229161
California,2006,1,Parts per billion,17.56833239,Parts per million,0.017699464,Parts per billion,1.516615969,Parts per million,0.595664628
California,2006,2,Parts per billion,19.88798979,Parts per million,0.021294188,Parts per billion,1.37535352,Parts per million,0.62308329
California,2006,3,Parts per billion,12.30733701,Parts per million,0.029006004,Parts per billion,0.930033896,Parts per million,0.416101823
California,2006,4,Parts per billion,10.55680333,Parts per million,0.030770387,Parts per billion,0.96411291,Parts per million,0.388137744
California,2006,5,Parts per billion,9.890279881,Parts per million,0.036250037,Parts per billion,1.189123118,Parts per million,0.320624514
California,2006,6,Parts per billion,10.70926047,Parts per million,0.033137434,Parts per billion,1.31433718,Parts per million,0.311207769
California,2006,7,Parts per billion,10.19695207,Parts per million,0.028487996,Parts per billion,1.435658081,Parts per million,0.295674275
California,2006,8,Parts per billion,9.994546796,Parts per million,0.031067547,Parts per billion,1.551149457,Parts per million,0.287018769
California,2006,9,Parts per billion,13.35125339,Parts per million,0.02886351,Parts per billion,1.500961207,Parts per million,0.346394842
California,2006,10,Parts per billion,15.64959484,Parts per million,0.025485107,Parts per billion,1.501629187,Parts per million,0.447414027
California,2006,11,Parts per billion,18.97397165,Parts per million,0.01804421,Parts per billion,1.669993162,Parts per million,0.59440502
California,2006,12,Parts per billion,19.49327088,Parts per million,0.015168493,Parts per billion,1.673735829,Parts per million,0.708034783
Colorado,2006,1,Parts per billion,26.05601394,Parts per million,0.01430958,Parts per billion,1.97009679,Parts per million,0.65717782
Colorado,2006,2,Parts per billion,29.67677787,Parts per million,0.012814611,Parts per billion,2.592340657,Parts per million,0.667153241
